County,State,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care
Abilene,TX,980,127,565,772,68,98,226444,50412,45289,9563,2090
Akron,OH,1358,186,518,938,94,140,547990,111042,109598,22933,4959
Alameda County,CA,2695,293,665,1680,139,216,1310189,214991,262038,53872,11400
Albany,GA,704,60,221,462,27,43,157143,30466,31429,6550,1410
Albany,NY,4804,425,1579,3191,193,309,1477723,318695,295545,62209,13545
Albuquerque,NM,2908,380,1102,2005,161,270,1336795,279457,267359,56108,12174
Alexandria,LA,917,43,402,660,20,31,221597,44519,44319,9266,2002
Allentown,PA,3267,334,1267,2267,143,238,960572,207376,192114,40442,8807
Altoona,PA,555,61,234,394,27,44,234560,56483,46912,9986,2203
Amarillo,TX,1236,194,678,957,79,137,332671,61267,66534,13806,2955
Anchorage,AK,1583,130,533,1058,55,93,551912,74327,110382,22385,4656
Ann Arbor,MI,3014,406,876,1945,122,264,1115589,209105,223118,46365,9942
Appleton,WI,448,72,222,335,37,54,254546,52373,50909,10668,2310
Arlington,VA,3116,450,995,2055,173,312,1909537,270129,381907,77695,16225
Asheville,NC,1541,232,556,1048,76,154,553131,146572,110626,23804,5316
Atlanta,GA,12780,1621,3338,8059,436,1029,5027281,799338,1005456,206224,43511
Augusta,GA,2194,349,831,1512,106,227,540242,105665,108048,22537,4854
Aurora,IL,527,55,286,406,25,40,245644,34035,49129,9981,2081
Austin,TX,2775,393,1003,1889,161,277,1523446,208426,304689,61851,12880
Bakersfield,CA,2429,191,692,1561,88,140,847115,123309,169423,34533,7229
Baltimore,MD,6931,844,1887,4409,303,574,2015003,379769,403001,83786,17976
Bangor,ME,1094,100,400,747,28,64,318554,77904,63711,13585,3003
Baton Rouge,LA,2898,249,1159,2028,119,184,746856,127072,149371,30795,6539
Beaumont,TX,908,114,421,665,43,79,356372,70621,71274,14884,3210
Bend,OR,415,38,182,298,17,27,189876,47299,37975,8114,1798
Billings,MT,2432,148,931,1681,65,106,476520,97688,95304,19964,4322
Binghamton,NY,1005,54,365,685,17,35,286154,67043,57231,12148,2671
Birmingham,AL,7297,991,2756,5027,342,666,1774690,364610,354938,74366,16104
Bismarck,ND,970,80,422,696,43,62,182581,38811,36516,7675,1668
Bloomington,IL,394,35,201,298,10,23,160796,25937,32159,6603,1395
Blue Island,IL,2053,308,583,1318,118,213,670968,134483,134194,28052,6058
Boise,ID,1773,186,848,1310,95,141,701166,134953,140233,29208,6280
Boston,MA,10239,1157,2548,6393,438,798,4022208,782014,804442,167702,36098
Boulder,CO,640,90,297,468,43,67,267487,42093,53497,10964,2311
Bradenton,FL,822,104,342,582,49,76,266378,82842,53276,11696,2671
Bridgeport,CT,1354,132,370,862,65,99,539133,102171,107827,22428,4815
Bronx,NY,4012,282,807,2410,115,199,1094741,170439,218948,44838,9442
Bryan,TX,579,64,317,448,34,49,230741,32271,46148,9381,1957
Buffalo,NY,4713,323,1228,2971,95,209,1090373,234541,218075,45891,9989
Burlington,VT,1743,117,587,1165,65,91,522720,104104,104544,21841,4714
Camden,NJ,6527,701,2294,4410,293,497,2208721,489214,441744,93226,20362
Canton,OH,1441,209,706,1073,97,153,495349,113936,99070,20988,4605
Cape Girardeau,MO,859,80,398,629,43,62,202898,45230,40580,8570,1873
Casper,WY,633,32,378,505,20,26,152884,31930,30577,6416,1392
Cedar Rapids,IA,799,44,364,581,22,33,234872,48228,46974,9841,2131
Charleston,SC,3013,329,975,1994,101,215,914407,196315,182881,38477,8374
Charleston,WV,2620,284,1167,1894,97,190,650209,155752,130042,27667,6100
Charlotte,NC,4873,770,1465,3169,249,510,2024238,353589,404848,83639,17806
Charlottesville,VA,1326,155,433,879,35,95,477802,100652,95560,20069,4358
Chattanooga,TN,1928,247,651,1290,59,153,567490,121347,113498,23870,5192
Chicago,IL,7764,912,3161,5462,312,612,2045072,306266,409014,83532,17529
Chico,CA,537,51,153,345,23,37,239882,53947,47976,10140,2219
Cincinnati,OH,3808,567,1537,2673,185,376,1293436,245509,258687,53815,11554
Clearwater,FL,1571,160,719,1145,44,102,434821,131578,86964,19023,4327
Cleveland,OH,7233,885,2631,4932,306,595,1602896,353619,320579,67629,14764
Colorado Springs,CO,1295,149,555,925,62,106,673350,119939,134670,27866,5944
Columbia,MO,1883,199,901,1392,77,138,557924,115795,111585,23401,5073
Columbia,SC,3026,398,1053,2040,151,275,975665,189632,195133,40678,8756
Columbus,GA,1105,75,547,826,33,54,280815,48222,56163,11587,2463
Columbus,OH,6449,679,2792,4620,235,457,2405737,441233,481147,99801,21352
Contra Costa County,CA,1727,203,675,1201,81,142,844608,159096,168922,35118,7534
Corpus Christi,TX,1135,167,357,746,38,102,439951,83055,87990,18296,3926
Covington,KY,828,93,280,554,39,66,327040,57022,65408,13511,2876
Dallas,TX,10585,1292,3679,7132,450,871,3918830,583050,783766,159993,33556
Danville,PA,1664,171,510,1087,33,102,481423,99782,96285,20190,4376
Davenport,IA,1614,139,699,1157,66,102,379562,86153,75912,16060,3518
Dayton,OH,2070,294,749,1410,89,192,825712,177147,165142,34743,7560
Dearborn,MI,1439,188,462,951,95,142,382586,75636,76517,15975,3445
Denver,CO,5593,843,2269,3931,325,584,2380353,379848,476071,97671,20614
Des Moines,IA,2760,173,1193,1977,76,125,869785,168710,173957,36257,7802
Detroit,MI,4123,509,1333,2728,163,336,1315527,254755,263105,54830,11797
Dothan,AL,1335,108,504,919,33,71,290096,65608,58019,12270,2687
Dubuque,IA,518,18,228,373,8,13,125779,28314,25156,5318,1164
Duluth,MN,1319,217,508,914,73,145,274471,63578,54894,11638,2555
Durham,NC,4505,790,1125,2815,241,516,1097252,224839,219450,45967,9951
East Long Island,NY,9897,928,1230,5564,235,582,3811249,751403,762250,159104,34299
El Paso,TX,2086,274,753,1420,51,162,839182,146112,167836,34665,7378
Elgin,IL,1239,142,475,857,67,104,610597,100811,122119,25118,5318
Elmira,NY,1036,94,361,699,14,54,255069,58415,51014,10803,2369
Elyria,OH,453,63,214,333,21,42,200261,44042,40052,8447,1843
Erie,PA,1904,184,706,1305,88,136,561138,130069,112228,23795,5225
Eugene,OR,1208,138,416,812,64,101,603572,141016,120714,25615,5630
Evanston,IL,2032,332,666,1349,137,234,711961,162705,142392,30146,6609
Evansville,IN,2154,328,1050,1602,157,243,528945,115347,105789,22292,4860
Everett,WA,951,83,319,635,26,55,542404,104811,108481,22603,4862
Fargo/Moorhead MN,ND,1872,180,734,1303,48,114,432080,90275,86416,18134,3934
Flint,MI,1375,161,458,916,58,109,426480,89340,85296,17904,3885
Florence,SC,1248,224,481,865,79,151,287862,62812,57572,12132,2645
Fort Collins,CO,704,31,341,523,14,22,287995,47223,57599,11841,2506
Fort Lauderdale,FL,7323,908,2753,5038,292,600,2396614,619365,479323,102839,22893
Fort Myers,FL,3115,268,1089,2102,97,182,1079022,373713,215804,48103,11163
Fort Smith,AR,931,87,487,709,55,71,281971,62427,56394,11901,2599
Fort Wayne,IN,2442,376,1038,1740,143,259,651379,132442,130276,27269,5898
Fort Worth,TX,4200,501,1400,2800,187,344,1764292,277941,352858,72324,15247
Fresno,CA,1935,205,547,1241,77,141,918145,146620,183629,37675,7952
Gainesville,FL,1834,303,469,1152,88,195,464038,96829,92808,19473,4224
Gary,IN,1434,179,638,1036,95,137,392167,80990,78433,16441,3562
Grand Forks,ND,952,31,374,663,18,24,130084,25793,26017,5433,1172
Grand Junction,CO,696,75,321,509,33,54,270519,57077,54104,11364,2468
Grand Rapids,MI,2440,236,957,1699,86,161,933913,171359,186783,38745,8289
Great Falls,MT,937,50,367,652,27,39,114922,25583,22984,4853,1061
Greeley,CO,792,79,396,594,28,54,294267,55594,58853,12238,2626
Green Bay,WI,990,112,498,744,43,77,402953,88095,80591,16986,3704
Greensboro,NC,1224,135,362,793,47,91,505727,100544,101145,21128,4559
Greenville,NC,1977,339,631,1304,115,227,679309,136432,135862,28406,6136
Greenville,SC,2217,282,798,1507,41,161,743619,153533,148724,31175,6755
Gulfport,MS,609,80,287,448,40,60,159671,28559,31934,6610,1411
Hackensack,NJ,3819,175,1057,2438,98,137,1048868,200075,209774,43658,9379
Harlingen,TX,1145,120,536,840,44,82,418633,76061,83727,17353,3709
Harrisburg,PA,2426,211,929,1677,61,136,825408,183199,165082,34846,7613
Hartford,CT,2855,323,751,1803,115,219,1196337,245503,239267,50125,10853
Hattiesburg,MS,1546,85,504,1025,30,57,240419,46076,48084,10011,2152
Hickory,NC,603,64,253,428,25,45,229268,51364,45854,9688,2119
Hinsdale,IL,1041,172,402,721,89,130,385733,67856,77147,15947,3397
Honolulu,HI,2623,219,795,1709,73,146,1114023,238126,222805,46857,10192
Houma,LA,707,65,399,553,32,49,206176,37957,41235,8556,1831
Houston,TX,14062,1790,5130,9596,652,1221,5278689,769270,1055738,215206,45055
Hudson,FL,1188,160,329,758,45,102,351228,112737,70246,15489,3553
Huntington,WV,1561,162,382,971,64,113,276340,63341,55268,11704,2567
Huntsville,AL,1804,248,569,1187,59,154,506155,100153,101231,21137,4558
Idaho Falls,ID,492,44,269,381,24,34,169856,28437,33971,6995,1483
Indianapolis,IN,7441,1081,3350,5396,403,742,2249394,412838,449879,93321,19966
Iowa City,IA,1414,147,538,976,64,106,279218,53012,55844,11618,2494
Jackson,MS,4425,406,1964,3194,149,277,792834,152349,158567,33022,7099
Jackson,TN,1063,115,423,743,57,86,256100,58414,51220,10842,2376
Jacksonville,FL,4947,618,1625,3286,183,400,1340118,254567,268024,55761,11973
Johnson City,TN,956,94,342,649,39,66,235522,51395,47104,9926,2164
Johnstown,PA,741,44,426,584,25,35,170816,45254,34163,7351,1642
Joliet,IL,1376,149,662,1019,53,101,516812,90546,103362,21359,4549
Jonesboro,AR,975,76,403,689,23,50,185969,38518,37194,7799,1690
Joplin,MO,1045,124,507,776,71,97,282798,63826,56560,11959,2618
Kalamazoo,MI,1462,139,681,1072,21,80,520196,104986,104039,21762,4703
Kansas City,MO,6736,795,2646,4691,286,541,1950902,362250,390180,81017,17355
Kettering,OH,923,138,412,667,42,90,334281,73199,66856,14093,3074
Kingsport,TN,1485,185,668,1077,75,130,375852,93948,75170,16067,3562
Knoxville,TN,3193,299,1198,2195,74,186,1108058,250729,221612,46870,10263
La Crosse,WI,650,78,286,468,44,61,279590,60747,55918,11779,2567
Lafayette,IN,457,34,193,325,14,24,199535,31824,39907,8187,1728
Lafayette,LA,1716,188,700,1208,87,137,477559,85840,95512,19778,4223
Lake Charles,LA,830,81,424,627,44,62,210604,37934,42121,8724,1863
Lakeland,FL,1046,103,382,714,57,80,317384,73118,63477,13450,2951
Lancaster,PA,1081,98,468,774,40,69,528715,112509,105743,22229,4833
Lansing,MI,1444,240,632,1038,115,177,561636,102892,112327,23297,4984
Las Vegas,NV,4165,761,1088,2626,162,462,1704994,321669,340999,70902,15213
Lawton,OK,733,76,346,539,32,54,152745,28422,30549,6344,1359
Lebanon,NH,939,105,333,636,56,80,320499,77792,64100,13657,3016
Lexington,KY,5045,579,2073,3559,172,375,1192842,231348,238568,49724,10700
Lincoln,NE,2047,116,1016,1532,33,75,459005,93970,91801,19228,4162
Little Rock,AR,4854,520,2174,3514,177,348,1212482,258840,242496,50992,11090
Longview,TX,224,45,98,161,21,33,161316,33367,32263,6764,1466
Los Angeles,CA,19492,2415,6594,13043,942,1679,7874162,1268093,1574832,323312,68296
Louisville,KY,4162,506,1700,2931,165,335,1385741,271762,277148,57822,12458
Lubbock,TX,1811,298,922,1367,85,191,546461,91980,109292,22513,4776
Lynchburg,VA,1174,55,309,741,20,37,217344,49862,43469,9206,2019
Macon,GA,2295,240,865,1580,57,149,568689,111226,113738,23724,5110
Madison,WI,2443,267,838,1640,121,194,886932,165619,177386,36850,7898
Manchester,NH,1603,137,582,1092,53,95,714679,143594,142936,29886,6456
Manhattan,NY,14834,1427,3059,8946,616,1021,4173437,725342,834687,172372,36678
Marquette,MI,601,47,276,438,18,32,159278,39415,31856,6802,1506
Marshfield,WI,706,68,281,494,34,51,295582,70770,59116,12577,2773
Mason City,IA,470,18,239,354,6,12,100326,26837,20065,4322,967
McAllen,TX,1938,350,849,1394,133,241,486579,74033,97316,19897,4181
Medford,OR,855,72,369,612,25,49,351154,95565,70231,15160,3398
Melrose Park,IL,2902,334,1122,2012,137,236,1031510,185204,206302,42716,9119
Memphis,TN,5054,543,2045,3549,139,341,1366198,246308,273240,56595,12087
Meridian,MS,1117,57,445,781,19,38,148060,32340,29612,6241,1361
Mesa,AZ,2091,291,648,1370,108,200,1135619,212738,227124,47196,10119
Metairie,LA,857,111,406,631,44,78,366346,76217,73269,15369,3333
Miami,FL,9139,981,2952,6045,280,630,2741481,526396,548296,114178,24544
Milwaukee,WI,5263,818,2207,3735,323,570,2079205,380644,415841,86242,18447
Minneapolis,MN,6954,612,2458,4706,238,425,2570355,478271,514071,106761,22874
Minot,ND,916,19,384,650,9,14,112434,19303,22487,4639,986
Missoula,MT,1002,79,455,729,39,59,315091,74302,63018,13385,2946
Mobile,AL,2066,282,695,1380,101,191,648957,135227,129791,27230,5906
Modesto,CA,1478,118,467,972,44,81,680976,119559,136195,28149,5996
Monroe,LA,1064,102,561,813,36,69,204787,41070,40957,8562,1849
Montgomery,AL,1225,131,461,843,61,96,360863,68023,72173,15005,3219
Morgantown,WV,1555,155,499,1027,40,97,329288,68760,65858,13819,2998
Morristown,NJ,1862,147,589,1226,54,101,795142,157620,159028,33210,7163
Muncie,IN,377,36,129,253,8,22,128803,27663,25761,5420,1180
Munster,IN,1500,105,642,1071,42,74,239843,45234,47969,9974,2140
Muskegon,MI,501,57,253,377,40,49,209507,45654,41901,8829,1925
Napa,CA,456,70,152,304,41,56,218503,53625,43701,9322,2062
Nashville,TN,7810,1118,2987,5398,317,717,2282662,410987,456532,94550,20190
Neenah,WI,447,46,262,355,25,35,191863,39899,38373,8049,1745
New Brunswick,NJ,2177,213,616,1397,126,170,845392,153380,169078,35039,7488
New Haven,CT,2825,286,610,1717,118,202,1177072,244084,235414,49366,10701
New Orleans,LA,2491,313,869,1680,77,195,554325,92037,110865,22813,4833
Newark,NJ,3636,403,1033,2334,195,299,1233539,198090,246708,50638,10694
Newport News,VA,905,145,251,578,45,95,447424,89385,89485,18700,4037
Norfolk,VA,2543,276,782,1663,82,179,1023500,174191,204700,42203,8962
Ocala,FL,902,150,289,596,51,100,449792,185054,89958,20608,4918
Odessa,TX,1014,101,543,779,38,70,283753,43182,56751,11603,2438
Ogden,UT,750,110,371,561,42,76,356000,51907,71200,14514,3039
Oklahoma City,OK,5541,582,2447,3994,225,404,1491485,279037,298297,61978,13287
Olympia,WA,558,84,173,365,25,54,320156,71021,64031,13515,2952
Omaha,NE,4017,449,1742,2879,184,317,1010995,195073,202199,42124,9060
Orange County,CA,5813,690,2236,4024,293,491,2662559,456181,532512,109845,23341
Orlando,FL,10004,1284,3292,6648,448,866,3130935,714153,626187,132544,29051
Ormond Beach,FL,872,158,359,616,63,110,338880,108815,67776,14945,3429
Owensboro,KY,390,36,175,282,14,25,112038,24900,22408,4731,1034
Oxford,MS,835,29,344,589,15,22,116854,21977,23371,4858,1042
Paducah,KY,1490,117,779,1134,57,87,290227,70421,58045,12367,2731
Palm Springs/Rancho Mira,CA,974,69,404,689,23,46,305976,94312,61195,13419,3060
Paterson,NJ,1164,84,527,845,12,48,310775,60087,62155,12951,2786
Pensacola,FL,2001,230,755,1378,91,160,636854,130505,127371,26680,5776
