hospital_service_area,hospital_county,operating_certificate_number,permanent_facility_id,facility_name
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,226700,37,Cuba Memorial Hospital Inc
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
Western NY,Allegany,228000,39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp
